ID tarea,Código,Problema,Responsable,Dirección,Fecha de reporte,Tiempo en cuarentena,Estado,Resultado,Subtipo del resultado,Responsable,Dirección de origen
13711457,GBBH29861,Dañado,AGUSTINA,LeT-0-001-000-00-00,2023-10-28 13:52:01,12 hs 38 min,Terminada,No encontrado,No encontrado,Facundo,QuP-0-001-000-00-00
13711396,CSGT74087,Dañado,flavia,EE-0-002-000-00-00,2023-10-28 13:35:24,3 hs 13 min,Terminada,Reacondicionado,Packaging con corte,ludmila,QuP-0-001-000-00-00
13711322,MDGF39417,Dañado,Juliana,MS-1-002-019-04-04,2023-10-28 13:26:49,11 hs 51 min,Terminada,En buen estado,En buen estado,Facundo,MS-1-002-019-04-04
13711204,VSZD09110,Dañado,Estefania,EE-0-002-000-00-00,2023-10-28 12:51:37,13 hs 37 min,Terminada,En buen estado,En buen estado,Facundo,QuP-0-001-000-00-00
13711098,HONJ49322,Dañado,munira,EK-0-007-016-01-01,2023-10-28 12:24:45,1 hs 16 min,Terminada,En buen estado,En buen estado,Andrea,EK-0-007-016-01-01
13711075,SSIH84663,Dañado,candela,MS-1-009-014-03-02,2023-10-28 12:18:23,9 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-009-014-03-02
13711068,VIXK42944,Dañado,candela,MS-1-009-016-03-04,2023-10-28 12:16:02,14 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-009-016-03-04
13711045,TKMI63243,Dañado,romina,EE-0-002-000-00-00,2023-10-28 12:11:16,42 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-042-031-01-01
13710795,KRYL79007,Dañado,zahira,EE-0-002-000-00-00,2023-10-28 11:45:07,1 hs 10 min,Terminada,Reacondicionado,Packaging con corte,Agustina,QuP-0-001-000-00-00
13710791,EVIU83024,Dañado,FLORENCIA,KA-0-001-000-00-00,2023-10-28 11:43:39,53 min,Terminada,Dañado,Está roto,ludmila,MS-0-006-024-01-04
13710721,MFJO76419,Dañado,milagros,DN-0-027-010-02-01,2023-10-28 11:10:20,1 hs 27 min,Terminada,Dañado,El embalaje está dañado,ludmila,MS-0-006-053-04-01
13710713,IIYY35315,Dañado,yago,EE-0-002-000-00-00,2023-10-28 11:07:47,2 hs 30 min,Terminada,En buen estado,En buen estado,Andrea,QuP-0-001-000-00-00
13710681,WYIM25171,Dañado,JOEL,KA-0-001-000-00-00,2023-10-28 10:56:30,2 hs 12 min,Terminada,Dañado,Está roto,Agustina,QuP-0-001-000-00-00
13710610,MDDX58510,Dañado,nicolas,KA-0-001-000-00-00,2023-10-28 10:42:56,2 hs 26 min,Terminada,Dañado,Está roto,Agustina,QuP-0-001-000-00-00
13710600,GFHR90808,Dañado,eugenia,KA-0-001-000-00-00,2023-10-28 10:41:23,2 hs 27 min,Terminada,Dañado,Está roto,Agustina,QuP-0-001-000-00-00
13710026,ZZZF79506,Dañado,tamara,EE-0-002-000-00-00,2023-10-28 9:29:06,3 hs 53 min,Terminada,Reacondicionado,Packaging con corte,Agustina,QuP-0-001-000-00-00
13710015,KUXP63068,Dañado,erika,MS-1-006-056-01-01,2023-10-28 9:24:47,2 hs 58 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Agustina,MS-1-006-056-01-01
13709925,YLWA13560,Dañado,macarena,EE-0-002-000-00-00,2023-10-28 8:47:30,4 hs 12 min,Terminada,Reacondicionado,Packaging con corte,Agustina,QuP-0-001-000-00-00
13709920,UMNA69098,Dañado,dayana,DN-0-027-010-02-01,2023-10-28 8:45:10,3 hs 52 min,Terminada,Dañado,El embalaje está dañado,ludmila,MS-0-014-023-01-03
13709588,LQEV85037,Dañado,Estefania,EE-0-002-000-00-00,2023-10-28 8:25:28,4 hs 31 min,Terminada,Reacondicionado,Packaging con corte,Agustina,QuP-0-001-000-00-00
13709384,PSAZ15422,Dañado,Milagros,MS-0-010-002-02-02,2023-10-28 7:23:38,5 hs 2 min,Terminada,En buen estado,En buen estado,ludmila,MS-0-010-002-02-02
13709280,VSZD09110,Dañado,Maira,EE-0-002-000-00-00,2023-10-28 7:04:26,5 hs 53 min,Terminada,Reacondicionado,Packaging con corte,Agustina,QuP-0-001-000-00-00
13709068,IUNG83237,Dañado,dell,MS-2-049-050-02-02,2023-10-28 5:54:41,6 hs 52 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-2-049-050-02-02
13708534,SRNO19039,Dañado,micaela,KA-0-001-000-00-00,2023-10-28 5:23:10,7 hs 13 min,Terminada,Dañado,Está roto,ludmila,MS-0-006-085-01-01
13708523,YNOH22139,Dañado,romina,ES-0-036-014-03-01,2023-10-28 5:16:37,7 hs 28 min,Terminada,Reacondicionado,Packaging con corte,ludmila,ES-0-036-014-03-01
13708522,PIRM09771,Dañado,coutinho,MS-1-020-001-02-05,2023-10-28 5:16:00,7 hs 17 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-020-001-02-05
13708503,IUNG83237,Dañado,dell,MS-2-010-036-03-01,2023-10-28 4:55:27,8 hs 12 min,Terminada,Reacondicionado,Packaging con corte,Andrea,MS-2-010-036-03-01
13708493,KYPB70010,Dañado,sabrina,MS-1-035-038-04-01,2023-10-28 4:42:30,7 hs 59 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-035-038-04-01
13708451,GKVK85572,Dañado,romina,ES-0-040-037-02-01,2023-10-28 4:23:55,8 hs 23 min,Terminada,Reacondicionado,Packaging con corte,ludmila,ES-0-040-037-02-01
13708449,ILHD23889,Dañado,ricardo,MS-2-006-004-04-02,2023-10-28 4:21:47,8 hs 48 min,Terminada,Reacondicionado,Packaging con corte,Andrea,MS-2-006-004-04-02
13708440,WQGW74115,Dañado,natalia,HB-3-004-060-04-03,2023-10-28 4:10:25,8 hs 50 min,Terminada,Reacondicionado,Packaging con corte,Andrea,HB-3-004-060-04-03
13708437,UWNQ82382,Dañado,priscila,MS-1-034-066-04-02,2023-10-28 4:08:10,8 hs 36 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-034-066-04-02
13708435,UWNQ82382,Dañado,priscila,MS-1-034-066-04-02,2023-10-28 4:07:36,8 hs 36 min,Terminada,Reacondicionado,Packaging con corte,Agustina,MS-1-034-066-04-02
13708359,CECP40103,Dañado,ricardo,MS-1-010-025-02-01,2023-10-28 3:05:16,36 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-010-025-02-01
13708356,GXGI86402,Dañado,selene,EK-0-004-041-01-02,2023-10-28 3:04:20,46 min,Terminada,Reacondicionado,Packaging con corte,Micaela,ES-0-004-041-01-02
13708347,EPAH57877,Dañado,luana,MS-2-012-041-02-05,2023-10-28 2:54:21,49 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-012-041-02-05
13708330,QBRN06685,Dañado,selene,EK-0-015-009-01-01,2023-10-28 2:45:56,1 hs 15 min,Terminada,Reacondicionado,Packaging con corte,Micaela,ES-0-015-009-01-01
13708290,IPMK00608,Dañado,vizcarra,MS-1-024-064-01-05,2023-10-28 2:27:11,1 hs 3 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-024-064-01-05
13708285,CDTI17488,Dañado,coutinho,DN-0-027-008-03-01,2023-10-28 2:25:06,1 hs 30 min,Terminada,Dañado,Está roto,Jennifer,MS-0-008-027-02-01
13708282,QQDG61361,Dañado,Maximiliano,EE-0-002-000-00-00,2023-10-28 2:24:50,3 hs 34 min,Terminada,En buen estado,En buen estado,Micaela,QuP-0-001-000-00-00
13708245,HEVS23051,Dañado,Jose,DN-0-027-008-03-01,2023-10-28 2:12:01,1 hs 42 min,Terminada,Dañado,Está roto,Jennifer,MS-0-005-073-01-01
13708191,GTBF82672,Dañado,daniela,DN-0-027-008-03-01,2023-10-28 1:57:54,1 hs 56 min,Terminada,Dañado,Está roto,Jennifer,QuP-0-001-000-00-00
13708167,LNVY31875,Dañado,fernando,EE-0-002-000-00-00,2023-10-28 1:50:23,25 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,QuP-0-001-000-00-00
13708156,OICO70703,Dañado,daniela,DN-0-027-008-03-01,2023-10-28 1:47:41,2 hs 6 min,Terminada,Dañado,Está roto,Jennifer,QuP-0-001-000-00-00
13708154,NVBC74601,Dañado,ricardo,MS-2-036-059-01-05,2023-10-28 1:47:12,31 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-036-059-01-05
13708153,DJEX84905,Dañado,jessica,EE-0-002-000-00-00,2023-10-28 1:46:43,29 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,QuP-0-001-000-00-00
13708086,OPUT71219,Dañado,daniela,DN-0-027-008-03-01,2023-10-28 1:36:54,2 hs 17 min,Terminada,Dañado,Está roto,Jennifer,QuP-0-001-000-00-00
13708074,YZQK69623,Dañado,Marco,EK-0-014-032-01-01,2023-10-28 1:33:59,2 hs 22 min,Terminada,Reacondicionado,Packaging con corte,Micaela,ES-0-014-032-01-01
13708039,ROOR22474,Dañado,luana,EE-0-002-000-00-00,2023-10-28 1:23:42,1 hs 57 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-0-011-019-01-05
13708011,TFIV15049,Dañado,maria,MS-1-040-037-01-01,2023-10-28 1:13:34,2 hs 22 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-040-037-01-01
13707845,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:45,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707844,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707843,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707842,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707841,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707840,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707839,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707838,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707837,QXGN83445,Dañado,Andres,EE-0-002-000-00-00,2023-10-28 0:56:44,2 hs 41 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707836,ACXI59004,Dañado,Malena,EE-0-002-000-00-00,2023-10-28 0:55:55,1 hs 17 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,QuP-0-001-000-00-00
13707831,HSCV10472,Dañado,ricardo,MS-1-034-018-03-05,2023-10-28 0:53:38,2 hs 39 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-034-018-03-05
13707807,JBAL83198,Dañado,nicole,EE-0-002-000-00-00,2023-10-28 0:45:06,1 hs 26 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,QuP-0-001-000-00-00
13707806,DPUU84135,Dañado,natalia,EE-0-002-000-00-00,2023-10-28 0:44:51,2 hs 37 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-0-017-077-03-05
13707533,PBSB27204,Dañado,hernán,MS-2-012-023-01-05,2023-10-28 0:27:20,1 hs 55 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-012-023-01-05
13707502,YFWZ51824,Dañado,daiana,EE-0-002-000-00-00,2023-10-28 0:16:55,5 hs 44 min,Terminada,Reacondicionado,Packaging con corte,Facundo,QuP-0-001-000-00-00
13707471,EADY32840,Dañado,vizcarra,MS-2-017-044-01-01,2023-10-28 0:07:29,2 hs 12 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-017-044-01-01
13707278,TTTP28103,Dañado,vizcarra,MS-2-016-057-03-02,2023-10-27 23:59:38,2 hs 22 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-016-057-03-02
13707263,VVTG82162,Dañado,florencia,MS-1-035-039-01-04,2023-10-27 23:55:01,3 hs 40 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-035-039-01-04
13707256,RYGV77475,Dañado,ricardo,MS-2-003-002-02-01,2023-10-27 23:52:58,2 hs 32 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-003-002-02-01
13707247,RTDN80098,Dañado,Franco,EE-0-002-000-00-00,2023-10-27 23:46:54,1 hs 35 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-0-013-033-02-03
13707232,MLGN74158,Dañado,ricardo,MS-2-007-003-04-02,2023-10-27 23:41:01,2 hs 43 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-007-003-04-02
13707151,RAFF68221,Dañado,JULY,EE-0-002-000-00-00,2023-10-27 23:27:13,2 hs 44 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,QuP-0-001-000-00-00
13707126,BYQJ28721,Dañado,brenda,EE-0-002-000-00-00,2023-10-27 23:24:52,1 hs 42 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-1-028-059-03-03
13707106,VUDY27023,Dañado,ricardo,MS-2-007-008-03-01,2023-10-27 23:22:46,2 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-007-008-03-01
13707101,JAOF72377,Dañado,dell,MS-1-034-075-01-03,2023-10-27 23:22:07,8 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-1-034-075-01-03
13707059,QXGN83445,Dañado,karina,EE-0-002-000-00-00,2023-10-27 23:18:47,2 hs 18 min,Terminada,En buen estado,En buen estado,Jennifer,QuP-0-001-000-00-00
13707053,KWXW80328,Dañado,ricardo,MS-2-007-002-04-05,2023-10-27 23:16:46,6 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-007-002-04-05
13706943,GEUO38925,Dañado,ricardo,MS-2-025-048-02-05,2023-10-27 22:57:43,16 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-025-048-02-05
13706942,GEUO38925,Dañado,ricardo,MS-2-025-048-02-05,2023-10-27 22:57:14,16 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-025-048-02-05
13706941,QOMU30661,Dañado,karina,DN-0-027-010-01-01,2023-10-27 22:56:48,4 hs 56 min,Terminada,Dañado,Está roto,Jennifer,QuP-0-001-000-00-00
13706940,GEUO38925,Dañado,ricardo,MS-2-025-048-02-05,2023-10-27 22:56:42,16 min,Terminada,Reacondicionado,Packaging con corte,Jennifer,MS-2-025-048-02-05
13706921,BRNG58872,Dañado,gonzalo,DN-0-027-008-02-02,2023-10-27 22:50:21,5 hs 1 min,Terminada,Dañado,Faltan componentes,Jennifer,MS-0-002-017-01-04
13706917,XUDN66969,Dañado,Iara,DN-0-027-008-02-01,2023-10-27 22:48:25,5 hs 4 min,Terminada,Dañado,El kit está separado,Jennifer,MS-0-014-021-04-01
13706915,FNAF70837,Dañado,luana,MS-2-014-041-02-02,2023-10-27 22:47:58,30 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-014-041-02-02
13706859,GBGN65193,Dañado,ricardo,MS-2-010-001-01-03,2023-10-27 22:28:13,52 min,Terminada,Reacondicionado,Packaging abollado/aplastado,Jennifer,MS-2-010-001-01-03
13706799,NDRT49932,Dañado,tiara,MS-2-021-030-01-01,2023-10-27 22:13:02,1 hs 2 min,Terminada,En buen estado,En buen estado,Jennifer,MS-2-021-030-01-01
13705639,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705638,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705637,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705636,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705635,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705634,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705633,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705632,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-052-04-05
13705631,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-036-03-03
13705630,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-036-03-03
13705629,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-036-03-03
13705628,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-036-03-03
13705627,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:59,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-036-03-03
13705626,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-029-03-02
13705625,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-029-03-02
13705624,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-029-03-02
13705623,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-029-03-02
13705622,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-029-03-02
13705621,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-03-01
13705620,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-03-01
13705619,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-03-01
13705618,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-028-052-04-05
13705617,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-028-052-04-05
13705616,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-05
13705615,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-05
13705614,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-05
13705613,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-05
13705612,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:58,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-05
13705611,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-02
13705610,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-036-030-02-02
13705609,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705608,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705607,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705606,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705605,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705604,OKEF80300,PDD,Axel,MA-0-053-075-02-03,2023-10-27 19:58:57,35 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-2-035-040-02-02
13705603,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-006-005-01-05
13705602,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-019-066-02-02
13705601,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-019-066-02-02
13705600,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-019-066-02-02
13705599,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-019-066-02-02
13705598,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:57,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-019-066-02-02
13705597,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-02-05
13705596,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-02-05
13705595,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-02-05
13705594,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-02-05
13705593,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-02-05
13705592,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 14 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-1-021-005-03-04
13705591,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 14 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-1-021-005-03-04
13705590,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 14 min,Terminada,PDD,Diferente del anuncio,Gonzalo,MS-1-021-005-03-04
13705589,OKEF80300,PDD,Axel,MA-0-053-075-01-03,2023-10-27 19:58:56,1 hs 15 min,Terminada,PDD,Diferente del anuncio,Axel,MS-1-021-005-03-04
